title,district,company,salary_min,salary_max,demand,company_info,tag,comment
AI图像算法工程师,白云区,美业颜究院,20,30,"
经验3-5年/本科","数据服务｜咨询,营销服务｜咨询 / B轮 / 50-150人","大数据
                                                                    AI智能
                                                                    深度学习
                                                                    图片识别
                                                                    目标检测
                                                                    图像算法",“职位晋升、五险一金、项目奖金、定期旅游”
SPBU-视频算法工程师,东圃,酷狗音乐,20,40,"
经验3-5年/本科","音频｜视频媒体,短视频 / 上市公司 / 500-2000人",视频算法,“发展空间大、年终奖、周末双休、免费咖啡”
医学图像配准算法工程师,广州大道南,柏视医疗,15,25,"
经验不限/硕士","医疗丨健康,数据服务 / A轮 / 50-150人","医疗健康
                                                                    C/C++
                                                                    医学图像配准
                                                                    VTK",“技术团队强”
图像算法工程师,天河区,网易,25,50,"
经验不限/本科","内容资讯,游戏,音频｜视频媒体 / 上市公司 / 2000人以上","人工智能
                                                                    图像处理
                                                                    计算机视觉",“6险1金，带薪年假，免费猪厂食堂，16薪”
机器翻译算法工程师 (MJ003261),番禺区,欢聚集团（JOYY Inc.）,20,40,"
经验1-3年/硕士","社交媒体,MCN｜直播平台 / 上市公司 / 2000人以上",深度学习,“健身房；餐补；免费咖啡”
SPBU-推荐算法工程师,天河区,酷狗音乐,25,45,"
经验3-5年/本科","音频｜视频媒体,短视频 / 上市公司 / 500-2000人","音乐
                                                                    直播",“五险一金、年终奖金、周末双休、包餐”
图像算法工程师,越秀区,参数,20,30,"
经验1-3年/硕士",工具类产品 / 不需要融资 / 15-50人,"本地生活
                                                                    企业服务
                                                                    深度学习
                                                                    人脸识别
                                                                    图像算法
                                                                    Python",“五险一金，定期体检，医疗补充，周末双休”
SPBU-高级图像算法工程师,天河区,酷狗音乐,25,45,"
经验3-5年/本科","音频｜视频媒体,短视频 / 上市公司 / 500-2000人","图像算法
                                                                    美颜
                                                                    3D特效",“发展空间大、绩效奖金、年终奖金、员工旅游”
风控算法工程师 (MJ003321),番禺区,欢聚集团（JOYY Inc.）,25,50,"
经验3-5年/本科","社交媒体,MCN｜直播平台 / 上市公司 / 2000人以上",深度学习,“健身房；餐补；免费咖啡”
SPBU-视频编解码算法工程师,棠下,酷狗音乐,30,50,"
经验1-3年/本科","音频｜视频媒体,短视频 / 上市公司 / 500-2000人",视频解码,“发展空间大、年终奖、周末双休、免费咖啡”
